side_effect,compound
db00424,c0242350
db01267,c0032290
db00246,c0085593
db00230,c1956346
db00218,c0042594
db01268,c0013922
db01156,c0027765
db01628,c0043246
db00694,c0009806
db00910,c0018790
db00712,c0029408
db00952,c0037023
db01182,c0178298
db00358,c0027765
db00448,c0020615
db00318,c0018799
db00743,c2240374
db00459,c0012569
db00602,c1325847
db01067,c0231218
db00209,c0429774
db06268,c0035258
db01012,c0687713
db06216,c0021368
db00248,c0015672
db06589,c0853697
db00216,c1096250
db01224,c0574067
db01198,c0424000
db00323,c0030193
db00281,c0040822
db00225,c0151735
db01393,c0030193
db00193,c0021053
db01111,c0040460
db00788,c0302295
db00497,c0857353
db01238,c1141959
db00459,c0235763
db01060,c0851341
db00740,c0039240
db00813,c0235710
db00540,c0021141
db00519,c1384353
db00952,c0234193
db06715,c0002871
db01036,c0080274
db00621,c0028960
db01224,c0010692
db00193,c0006145
db00959,c0020635
db00609,c0022346
db00938,c0026837
db01224,c0006145
db00242,c0015672
db06155,c0033774
db00369,c0231218
db00794,c0162429
db06218,c0022107
db00920,c0037317
db00683,c0600260
db00539,c0042134
db06287,c0151904
db00478,c0853619
db00555,c0020580
db00542,c0018681
db00242,c0085605
db00296,c0085616
db00952,c0038358
db00986,c0020649
db00715,c0151601
db01024,c0740394
db00480,c0034063
db01009,c0151746
db01128,c2242708
db00282,c0002792
db02638,c0000729
db01181,c0013428
db00982,c0031350
db00201,c1442826
db00740,c0026826
db00789,c0043352
db00291,c0017178
db01043,c0700590
db00989,c0151205
db00915,c0575081
db00845,c0022346
db00185,c0017181
db00393,c0022346
db01111,c0549373
db00230,c0086543
db08873,c0853193
db01059,c0948586
db00215,c0151907
db01242,c1510410
db00234,c0026961
db00188,c0023518
db01085,c0004093
db04876,c0037274
db06228,c0025323
db00503,c0040264
db00523,c0000731
db01595,c0015230
db00215,c0162830
db01062,c0026946
db00921,c0004936
db04839,c0019147
db06589,c0239978
db00788,c0030305
db01327,c2830004
db00202,c0042109
db00543,c0156404
db00341,c0424295
db00611,c0014591
db06817,c0042963
db01155,c0018965
db00338,c0497247
db01003,c0023052
db01242,c0520966
db00615,c0311468
db06216,c0039070
db06802,c0027765
db00673,c0740401
db00990,c0024236
db01003,c0863079
db00744,c0011603
db08873,c0423791
db00451,c0232602
db01043,c0029878
db01175,c0009326
db01068,c0687713
db00502,c0234133
db00361,c0003811
db00553,c0162830
db00556,c0547030
db01247,c0041657
db00528,c0019158
db01268,c0018939
db00763,c0042109
db00655,c0023218
db08884,c0948089
db00864,c0476273
db08912,c0033774
db00281,c0018799
db01012,c0026821
db00193,c0004093
db00348,c0023530
db00327,c0235848
db00764,c0016867
db00180,c0020458
db08896,c0027339
db00357,c0011603
db06809,c0018681
db00232,c1318520
db00755,c0750394
db00479,c0001925
db01006,c0042571
db06817,c0038663
db00590,c0003123
db00188,c0151698
db00928,c0041834
db00223,c0234894
db00268,c0151836
db00619,c0220870
db00404,c0033774
db01240,c0013595
db00959,c0009782
db01188,c1963964
db00176,c0017152
db00268,c0948594
db00014,c0751295
db04946,c0011206
db00787,c0521491
db00243,c0541832
db00330,c0344232
db00909,c0151763
db01610,c0002170
db01175,c0014868
db06414,c0151602
db00268,c0409962
db01016,c0030554
db01254,c0034902
db06701,c0039070
db00287,c0042075
db00538,c0016204
db01267,c0235329
db01215,c0233472
db00627,c0151671
db00762,c0857496
db00997,c1142412
db00203,c0013395
db01177,c0178298
db00709,c0019209
db01211,c0034065
db00635,c0235409
db00740,c0002874
db01198,c2830004
db00389,c0231528
db00611,c0013456
db05812,c0020538
db01248,c0162834
db00276,c0018965
db01137,c0007860
db01132,c0948807
db00882,c0032989
db01118,c0029191
db08877,c0009450
db01098,c0016204
db00709,c0001125
db00752,c0020546
db00808,c0020453
db00884,c0853023
db00814,c0549234
db08826,c0003862
db00989,c0028734
db00563,c0004936
db00877,c0521854
db00929,c0034065
db01327,c0002792
db00831,c0234133
db00705,c0004364
db00503,c0026821
db01263,c0031117
db00230,c0027765
db00303,c0852911
db01215,c0013390
db00986,c0025061
db00238,c0235996
db01129,c0267596
db06268,c0034886
db00404,c0025061
db00393,c0015230
db00346,c0040479
db00193,c0424790
db00659,c0231528
db00685,c0020625
db06705,c0013395
db08947,c0030232
db06201,c0012833
db00369,c0033774
db04839,c0002170
db06201,c1167965
db00349,c0278079
db00230,c0497327
db01229,c0018784
db00850,c0857305
db00561,c0030554
db00191,c0018790
db00997,c0151603
db01101,c0344315
db00642,c0853068
db00900,c0020615
db01204,c0030193
db00989,c0231528
db00413,c0027765
db00319,c0003862
db01177,c0542051
db00286,c0006852
db00605,c0003123
db00765,c0687713
db00201,c0520872
db00224,c0023801
db06684,c2830004
db00552,c0017178
db01128,c0235431
db01182,c0009806
db00758,c0018099
db00307,c0039231
db00575,c0042023
db00630,c0037763
db00285,c0016658
db01217,c0004093
db00545,c0235567
db01006,c0022107
