side_effect,compound
db00953,c0029408
db00864,c0027765
db00319,c0031542
db00658,c0015734
db00538,c0038358
db01155,c0011991
db01167,c0019112
db01165,c0037199
db01332,c0023530
db00983,c0021053
db01006,c0700590
db00476,c0029261
db00917,c0030193
db00188,c0028961
db00918,c0232431
db00869,c0027092
db00722,c0151480
db00388,c0232191
db00248,c0016204
db00905,c0025061
db00515,c0031117
db00264,c0231807
db00629,c0424295
db00264,c0236075
db01065,c0042963
db01041,c0151723
db00497,c0002871
db00906,c0027932
db00748,c0080274
db00811,c0547030
db00104,c0017178
db00104,c0677500
db00193,c0877305
db00523,c0853149
db00783,c0241136
db00215,c0039584
db04876,c0009450
db00996,c0025323
db00741,c0018813
db01249,c0003130
db01280,c0151888
db00315,c2830004
db00261,c0344232
db00789,c0037383
db01050,c0948594
db00983,c0027497
db01156,c0017605
db00218,c1609512
db00746,c0042109
db00635,c0042109
db06701,c0015672
db00465,c0025222
db00906,c0008325
db08911,c0016436
db00540,c0151610
db00541,c0030312
db01167,c0700590
db00667,c1720775
db00285,c0002874
db08918,c0741553
db00480,c0030554
db01142,c0013395
db01073,c1145670
db01273,c0037763
db01167,c0042075
db06589,c0853595
db06772,c0041912
db00136,c0003811
db01331,c0020517
db01175,c1456784
db00607,c0030312
db01320,c0020649
db00721,c0020538
db00338,c0025222
db00287,c0019357
db00943,c0239783
db00215,c0020651
db01236,c0036973
db00722,c0018790
db00968,c0030312
db00328,c0042023
db00865,c0338614
db00922,c0020621
db00880,c0235416
db00396,c0151766
db01390,c0542203
db00247,c0151539
db00681,c0003862
db00393,c0040034
db00524,c0085682
db08947,c0151636
db00709,c0031542
db00341,c0015397
db00741,c0239295
db00943,c0518988
db00678,c0042029
db01175,c0026603
db00335,c0344320
db00478,c0426576
db08934,c0013395
db00215,c0026837
db01242,c0085631
db08901,c0917801
db00743,c0013395
db01367,c0085636
db01075,c0027424
db06237,c0037199
db01043,c0235437
db01101,c0027947
db00783,c0004623
db06699,c1096355
db00535,c0011991
db00519,c0022354
db01179,c0521491
db01006,c0030554
db00740,c0036974
db00951,c0936215
db00460,c0948594
db01260,c0263449
db00268,c0338480
db01197,c0004093
db01020,c0340464
db00688,c0007222
db00997,c1321686
db00268,c0021177
db00720,c0042075
db00521,c0013604
db00700,c0011124
db00843,c0232493
db00829,c0037763
db00321,c0028643
db01043,c0233632
db04835,c0027947
db00959,c0162835
db00215,c0017565
db00521,c0917798
db01367,c0032617
db01327,c0038826
db00553,c0015967
db08887,c0010709
db00776,c0032617
db00615,c0023510
db00949,c0020625
db00843,c0518015
db00678,c0948594
db00207,c0349506
db00230,c0022107
db00813,c0238844
db08889,c0026766
db04946,c0027441
db00713,c0015967
db06268,c0151908
db01294,c0014868
db01142,c0039231
db00282,c0026858
db00924,c0341047
db01069,c0152032
db00523,c0344232
db00986,c0017178
db01137,c0026896
db00673,c0600142
db00215,c0023518
db00633,c0700590
db00659,c0014457
db00501,c2830004
db00273,c0242979
db00438,c0024282
db01202,c0085641
db00989,c0006277
db01229,c0030252
db01182,c0020456
db00519,c0036974
db01050,c0853068
db08815,c0917799
db00727,c0851341
db00953,c0085623
db01150,c0042963
db00193,c0027343
db00553,c0013604
db00688,c0085679
db00537,c0031542
db00591,c0240327
db00465,c0019521
db00780,c0231530
db01221,c0232462
db01236,c0235639
db00537,c0016512
db00531,c0085669
db01401,c0235063
db01132,c0031350
db01050,c0151798
db00864,c0574067
db00287,c0033774
db00273,c0259749
db01656,c0020517
db01015,c0027497
db00428,c0242528
db00273,c0002453
db00353,c0919567
db00788,c0038325
db00275,c0151904
db00943,c0574068
db04868,c0234632
db00465,c0027769
db00612,c0034150
db00369,c0239739
db00715,c0030232
db00459,c0014868
db04839,c0038990
db01182,c0235266
db00370,c0002170
db01413,c0002871
db01610,c1565489
db01029,c0009450
db04946,c0042571
db00681,c0413252
db01155,c0427457
db06777,c0851341
db00583,c0085595
db00207,c1112709
db01120,c0027769
db00472,c0340865
db01080,c0003467
db00341,c0015230
db01039,c0002170
db01234,c0034063
db00448,c0151828
db00884,c0014724
db00572,c0013378
db01205,c0042401
db00476,c0002170
db00843,c0014591
db00661,c0034150
db00688,c0740394
db00740,c0020580
db00962,c0221100
db01189,c0023895
db00734,c0271441
db01156,c0277925
db01263,c0151908
db00740,c0037299
db00959,c0518015
db00864,c0000737
db01044,c0151905
db06702,c0017160
db01161,c0015967
db00755,c0013595
db00572,c0022575
db01128,c0006145
db00303,c0031542
db06701,c0232288
db00296,c0151560
db01136,c0002170
db01080,c0015672
db00814,c0948089
db08912,c0037274
db00332,c0038362
db00831,c0001824
db00811,c0035309
db00804,c0030252
db00598,c0231218
db04938,c0042373
db00648,c0018418
db01367,c0232462
db00381,c0085593
db00631,c0033774
db00445,c0852911
db06268,c0232498
db00413,c0038990
db00422,c0435002
db00440,c0040034
db05271,c0020649
db00710,c0004998
db00910,c0042109
db00215,c0013404
db00675,c0019557
db00317,c0042109
db00783,c0002170
db00273,c0852909
db01020,c0017979
db01150,c0002878
db08827,c0037199
db00480,c0151904
db00275,c0039231
db00215,c0234458
db00927,c0008031
db00996,c0268000
db01590,c0019163
db00216,c0040147
db01590,c0020625
db01165,c0019158
db00541,c0149745
db00966,c0034150
db06700,c0853692
db00014,c0042075
db01197,c0027947
db01137,c0234913
db00471,c0020039
db08804,c0268000
db00472,c0041671
db01041,c0001824
db00429,c0043144
db00555,c0234215
db01215,c0227791
db00035,c1268766
db00264,c0031212
db01395,c0007785
db00450,c0262385
db00667,c0039621
db01395,c0518015
db00538,c0151736
db00371,c0002874
db00928,c0011603
db01267,c0027765
db00564,c0344232
db00665,c0003123
db00997,c0497156
db06268,c0002871
db00208,c0015967
db00556,c0002792
db01005,c0016059
db01595,c0039070
db00818,c0243026
db00402,c0004093
db01098,c0035410
db01393,c0002170
db00206,c0002962
db01104,c0235660
db00290,c0151717
db00413,c0006444
db00758,c0521839
db08884,c0013604
db00422,c0338831
db01242,c0022107
db00407,c0221423
db00963,c1096274
db00343,c0015402
db00370,c0021843
db01628,c0687713
db01048,c0442874
db00753,c0011603
db00268,c0009760
db00225,c2364111
db00289,c0855242
db00787,c0151505
db06594,c0011570
db00333,c0020621
db00338,c0149931
db00190,c0020538
db00213,c0018681
db00688,c0011849
db01113,c0015230
db00443,c0016655
db00450,c0392156
db00882,c0015672
db00960,c0008031
db01409,c0149745
db01200,c0025061
db01551,c0027765
db00564,c0948594
db00388,c0018799
db00528,c2939147
db00302,c0149931
db00695,c0178298
db06616,c1443060
db00297,c0020517
db00738,c0035410
db00811,c0004936
db00879,c0030305
db01327,c0027947
db00188,c0701836
db00556,c0042514
db00714,c0013404
db01074,c0160390
db00673,c0750426
db01238,c0040046
db01265,c0232495
db00813,c0947912
db01118,c0015672
db01590,c0239571
db00434,c0022346
db00736,c0018524
db00379,c0000737
db01224,c0702166
db00289,c0521987
db00674,c0042514
db01053,c0027707
db00343,c0541782
db00862,c0151904
db00594,c0039971
db01101,c0002622
db00537,c0340865
db01624,c0032961
db01041,c0018801
db00234,c0080276
db00338,c0149745
db00208,c0014457
db00273,c0085602
db08912,c0042029
db00709,c0021053
db01101,c0020580
db00417,c0235347
db00910,c0005758
db01416,c0013609
db00912,c0037199
db00215,c0032781
db06268,c0037578
db00531,c2242496
db00286,c0235431
db00760,c0033774
db00542,c0398370
db00586,c0233632
db06772,c0027765
db00563,c0028960
db06218,c0002994
db00321,c0234708
db01165,c0086543
db00667,c0022660
db08912,c0860493
db00943,c0019158
db01068,c0031117
db00423,c0018681
db00724,c0012833
db00176,c0014724
db01182,c0080274
db00289,c0001807
db01583,c1291078
db01232,c0333355
db00966,c0234215
db00982,c0235876
db00195,c0028084
db00185,c0234215
db00497,c0006145
db00696,c0239385
db00295,c0040210
db00675,c0021400
db00697,c0018524
db00770,c0032326
db01263,c0008031
db00482,c0042510
db01080,c0266316
db01137,c0151605
db00974,c0151773
db00361,c0151786
db01142,c0156404
db00864,c0022354
db00709,c0795692
db00697,c1321686
db01160,c0428977
db00490,c0242422
db00388,c1325847
db08889,c0003862
db01111,c0015672
db00469,c0015672
db01356,c0235086
db04868,c0342579
db00443,c0019348
db00909,c0003578
db00996,c0031039
db00811,c0010709
db00603,c0232461
db01586,c0151766
db00484,c0009450
db00530,c0027339
db00512,c0014742
db00268,c0032461
db00338,c0232462
db01072,c0162429
db06212,c0011175
db00180,c0085593
db06216,c0036974
db01238,c0006444
db00681,c0151723
db00224,c0019348
db00344,c0015967
db00959,c0023518
db01181,c0003862
db00910,c0017168
db06287,c1384353
db00667,c0429098
db00728,c0026848
db00361,c0011603
db00198,c0030193
db00627,c0237849
db00624,c0701836
db09015,c0004093
db00369,c0010038
db00091,c0042075
db00819,c0030554
db00530,c0235896
db01367,c0151970
db00978,c0392525
db06705,c0004093
db00882,c0010417
db00332,c0392171
db00332,c0231919
db06335,c0085649
db01586,c0026821
db00481,c0018799
db00203,c0162285
db00620,c0700590
db00330,c0003862
db01589,c2830004
db00495,c0267792
db00503,c1510471
db01062,c0039971
db00381,c0013428
db00541,c0026846
db00422,c0152198
db01220,c0004093
db00843,c0085649
db01608,c0043352
db00544,c0851341
db00188,c0014236
db00091,c0040264
db00804,c0233715
db00545,c0040586
db00945,c0017181
db01580,c0012833
db00544,c0344232
db00695,c0151723
db00997,c0011849
db01097,c0020550
db00715,c0151603
db00540,c0232462
db01183,c0011570
db01211,c0015967
db00783,c0853020
db01242,c0013144
db06700,c0595930
db01238,c0344315
db01177,c0080203
db06616,c0040264
db01062,c0021400
db00783,c0013595
db01048,c0006277
db00842,c0022346
db00808,c0013428
db01590,c0162429
db00783,c0426576
db00740,c0002994
db01165,c0008031
db08907,c0039070
db00811,c0233494
db00545,c0393947
db00688,c2243080
db00629,c0162429
db00624,c0282612
db00540,c0013378
db00371,c0085593
db06287,c0851341
db00862,c0235996
db00986,c2364111
db01238,c0152032
db00761,c0085620
db06700,c0013378
db00499,c0232462
db00502,c0035309
db00470,c0852908
db00625,c0015230
db00538,c2830004
db01595,c0013144
db01399,c0687713
db00943,c0041657
db00950,c1456784
db01255,c0233477
db00649,c0004936
db00472,c0041657
db00715,c0013298
db00555,c0022568
db00225,c0013378
db00176,c0033575
db00337,c0018681
db00429,c0151827
db00603,c0026858
db00738,c0027947
db00176,c0009806
db01265,c0476280
db01367,c0392699
db00598,c0033975
db01610,c0042023
db00776,c0016382
db01398,c0392176
db00480,c0013395
db00230,c0002962
db00519,c0003811
db01168,c0027697
db06772,c0020580
db00485,c0231530
db00959,c0003892
db06262,c0003811
db00582,c0009763
db01175,c0439857
db00983,c0851578
db00684,c0232807
db00273,c0040460
db00014,c0013395
db00734,c0424448
db00230,c0015469
db00706,c0013395
db00268,c0542571
db00402,c0019360
db00686,c0149745
db00415,c0011603
db00577,c0017178
db01024,c0151849
db01218,c0033774
db00230,c0014534
db01024,c0039231
db00584,c0013404
db00535,c0018801
db00813,c0032584
db01238,c0036337
db00359,c0023530
db01576,c0040188
db01413,c0549249
db01068,c0085593
db00928,c0015397
db00787,c0392386
db00195,c0009676
db01137,c0019112
db00203,c0017152
db01137,c0476273
db00736,c0013428
db00995,c0001824
db00607,c0948586
db00441,c0151849
db00307,c0032226
db09009,c0017574
db00708,c0235146
db01254,c0156308
db01175,c0700200
db00559,c0521839
db01120,c0009763
db01137,c0037274
db00417,c0015230
db04845,c0917801
db05260,c0085584
db00305,c0018926
db01069,c0009421
db01238,c0011124
db00740,c0007780
db00307,c0151951
db00633,c0015230
db00694,c0006384
db04946,c1443060
db00775,c0020538
db01238,c0948579
db00602,c0004604
db01248,c0151970
db00694,c0011053
db00268,c0521839
db00611,c0003811
db01406,c0037290
db00523,c0235283
db01273,c0038362
db01104,c0549622
db00313,c0233494
db00882,c0023448
db00709,c0001824
db00315,c0042131
db00615,c0022346
db00440,c0003862
db01136,c0268000
db00910,c0702166
db00966,c0006444
db00966,c0041912
db01232,c0023524
db00552,c0027497
db01229,c0033771
db00619,c0009450
db00276,c1287298
db06204,c0011991
db01151,c0043352
db01192,c0042373
db01212,c0020458
db01262,c0948089
db00620,c0085932
db00355,c0011603
db00268,c0005683
db00770,c3665347
db00814,c0037274
db00887,c0240521
db00268,c0028081
db01046,c0015732
db01104,c0010692
db01390,c0149514
db00531,c0403639
db00344,c0043352
db00362,c0004936
db00275,c0730345
db00014,c0020538
db00185,c0149745
db00982,c0233794
db00273,c0877167
db01202,c0149745
db00014,c0851578
db01112,c0027497
db01590,c0020461
db01186,c0031350
db01050,c0003864
db00014,c0032584
db00855,c0518015
db00537,c0042256
db01024,c0030554
db01273,c0017168
db00834,c0151786
db00303,c0042571
db00537,c0014236
db00641,c0006147
db04845,c0234146
db00297,c0026205
db00483,c0009676
db00720,c0085669
db00519,c0041657
db00185,c0235972
db01240,c0236000
db00373,c0233494
db01656,c0042963
db04844,c1744587
db00273,c0011615
db00445,c0040264
db00667,c0004604
db01144,c0040034
db01004,c0018129
db01234,c0085622
db00273,c0151772
db01069,c0041834
db01208,c0002994
db00177,c0027121
db01165,c0151773
db00621,c0156312
db00377,c0151878
db01235,c0231218
db00374,c2047937
db00989,c0852911
db00339,c0040034
db01005,c0858867
db00605,c0014457
db00458,c0023530
db00852,c0013404
db00586,c0009806
db01043,c0855333
db00593,c2979982
db00999,c0018834
db00790,c0001339
db01010,c0013362
db01080,c0233471
db00548,c0259817
db00949,c0687713
db00820,c0016382
db01105,c0016204
db00724,c0700590
db00307,c0855242
db00193,c0026857
db00196,c0160390
db00700,c0151662
db08866,c0162429
db00445,c0041912
db01069,c1443060
db00438,c0000737
db00231,c0042571
db06715,c0237314
db00572,c0034935
db00864,c0020538
db01197,c0018418
db01194,c0025061
db00519,c0042109
db00344,c0022346
db01254,c0009676
db04868,c0033860
db00220,c2830004
db00910,c0038999
db00188,c0023860
db01590,c0018944
db00586,c0040034
db00660,c2830004
db01053,c0022408
db00470,c0021053
db00978,c0009676
db01398,c0000737
db00575,c1619702
db00196,c3665347
db00716,c0002792
db00715,c0015300
db00989,c0039240
db00285,c0151315
db00317,c0019079
db00679,c2830004
db01072,c0017152
db00877,c0813230
db00198,c0021400
db00909,c0002453
db00967,c0003123
db01275,c0001824
db01137,c0006277
db00594,c0032617
db00569,c0013395
db01050,c0014591
db00749,c0002170
db00864,c0026948
db00976,c1167965
db00621,c0033117
db00454,c0016059
db08930,c0311468
db01184,c0013604
db00693,c0521501
db00905,c1142349
db01219,c0011991
db00989,c0020580
db00714,c0004936
db00572,c1963818
db00934,c0018524
db01211,c0340464
db00847,c0029134
db00763,c2830004
db01206,c0023380
db01037,c0442874
db00969,c0340464
db01189,c0264893
db01008,c0232849
db00853,c0151904
db00538,c0018524
db01068,c0600260
db01037,c0026821
db08947,c2047937
db00818,c0151740
db00211,c0041969
db01085,c0010200
db01105,c0522055
db00307,c0013604
db00996,c1142412
db00328,c0476273
db00472,c0005758
db00494,c0040435
db00564,c0000737
db00282,c0026821
db00881,c0015672
db01204,c0011071
db01263,c0340279
db01128,c0018799
db00709,c0011168
db01375,c0011175
db00813,c0917798
db00586,c0086565
db00734,c0699744
db00952,c0232849
db00828,c0037274
db01235,c0010200
db01242,c0026961
db00413,c0013362
db01212,c0016204
db00740,c0232726
db00712,c0017601
db00897,c0028084
db00584,c0011168
db00593,c0017178
db06201,c0497156
db01359,c0858678
db00550,c0027497
db06594,c0011991
db00563,c0948594
db00211,c0030554
db00273,c0221201
db06292,c0948089
db00648,c0281856
db00982,c0235309
db01168,c0221281
db01268,c0014724
db00573,c0013404
db00674,c0085610
db00531,c0869523
db01149,c0036572
db00678,c0020615
db06287,c0458219
db00413,c0003537
db04845,c0085624
db00625,c0233471
db00622,c0042963
db05109,c0151735
db00734,c0020676
db00188,c0687713
db00746,c0030554
db00736,c0235996
db00286,c0040038
db00035,c0009450
db00181,c0038454
db00656,c2225524
db01110,c0017672
db08816,c0423798
db00200,c0018790
db01023,c0023222
db06699,c0020517
db00999,c0009806
db08873,c0020517
db01083,c0006266
db00315,c0404521
db00572,c0151908
db00411,c0020625
db08911,c0085649
db00564,c0151559
db00176,c0012797
db06700,c0242350
db01611,c0015397
db00193,c0851578
db01175,c0236023
db00813,c0233472
db00200,c0021053
db00943,c0007078
db01390,c0015230
db00724,c0037199
db00804,c0037383
db00458,c2225524
db00928,c0042075
db00413,c3263723
db00625,c0085682
db00625,c0162283
db00909,c0014868
db01137,c2242996
db00745,c0403632
db00598,c0030554
db00555,c0012569
db00538,c0043352
db00490,c0012746
db00459,c0012833
db00218,c0234632
db00788,c0014848
db01628,c0000737
db00499,c0235818
db00246,c1510472
db01149,c0006849
db00230,c0030920
db01132,c0006147
db01115,c0028734
db00477,c0009450
db01043,c0020651
db04868,c0028734
db00458,c0039231
db01041,c0021053
db01112,c0221742
db06705,c1720775
db01030,c0009806
db00619,c0231218
db01002,c0036572
db01390,c0039621
db01224,c0152517
db01181,c0038999
db00688,c0030925
db00408,c0686347
db06717,c0020649
db01590,c0948380
db00629,c0031154
db05260,c0015967
db01137,c0237849
db01013,c0010481
db01137,c0520966
db00273,c1443060
db00847,c0030196
db06218,c2830004
db00956,c0043352
db00959,c0003467
db00625,c0018965
db00246,c0027059
db00462,c0009676
db01235,c0030196
db01624,c0025345
db00287,c0009759
db00620,c0043251
db00310,c1318520
db00622,c0746961
db01202,c0002418
db00975,c1291078
db01099,c0033975
db00813,c0948070
db00943,c0520588
db00966,c0497247
db00489,c0013604
db01182,c0016204
db01165,c0022346
db01043,c0243026
db00285,c0036416
db00722,c0442874
db00187,c0018801
db00210,c0542571
db01072,c0018681
db01267,c0231471
db06817,c0030252
db00876,c0013404
db00540,c0234708
db01186,c0038990
db01195,c0040264
db00583,c0015230
db00857,c0000737
db04953,c0027066
db01013,c0151717
db01175,c0026650
db00778,c1735630
db08887,c0002170
db00310,c0034063
db00538,c0853813
db00624,c0234233
db00035,c0027769
db00296,c0000731
db01008,c0002874
db01149,c0017605
db00829,c0026821
db01004,c0020625
db00195,c0151754
db01100,c0151564
db00603,c0085593
db01175,c0023380
db00658,c0017178
db00268,c0151849
db01105,c0038362
db00362,c0151904
db00317,c0085692
db00479,c0015967
db01044,c0948085
db00459,c0344232
db00399,c0036974
db05630,c0006266
db01008,c0549567
db00996,c0424295
db00285,c0000731
db00571,c0007682
db01080,c0085632
db00661,c0235439
db01263,c0151479
db01224,c2937350
db01182,c0014868
db00839,c0234215
db00864,c0021099
db00285,c0009676
db00367,c0043096
db06802,c0085636
db00683,c0178298
db01155,c0039231
db00328,c0876973
db00978,c0542571
db00997,c0333355
db01186,c0039971
db04839,c0004509
db00813,c0080274
db00323,c0917816
db00816,c0033774
db05521,c0036974
db00425,c0030193
db00215,c0025345
db00448,c0009324
db04844,c0410256
db00943,c0037763
db08893,c0006145
db00804,c0234215
db00014,c0231365
db01111,c0042963
db01141,c0014742
db01095,c0002878
db00399,c0004604
db00315,c0917801
db04574,c0020517
db00348,c0005741
db01077,c0001824
db00952,c0032285
db00917,c0151907
db00671,c0006840
db01174,c0041657
db01101,c0221245
db00497,c0039971
db01128,c0206062
db00989,c0043096
db06705,c0549373
db01050,c0242073
db00688,c0004144
db00669,c0854107
db00973,c0600142
db00911,c0039971
db00234,c0391870
db00494,c0026821
db00175,c0030305
db01181,c1456784
db00688,c0005779
db01100,c0233565
db01261,c0018799
db00758,c1168290
db00869,c0233407
db01238,c0232462
db00216,c0021400
db00597,c0033774
db00745,c0032285
db06715,c0235266
db00218,c0233472
db00244,c0919715
db00688,c0151465
db01100,c0015732
db00575,c0497365
db00494,c0340464
db00470,c0042401
db00523,c0038362
db01156,c1619712
db00441,c0151795
db00184,c0014724
db00371,c0001824
db04868,c0151904
db00997,c0028960
db00443,c0232462
db00734,c0013144
db00947,c0042029
db00091,c0032285
db00678,c0026858
db00814,c0235886
db01238,c0235198
db01002,c0475858
db01195,c0344232
db00488,c0027651
db00622,c0040034
db01183,c0027765
db01068,c0004604
db00736,c0234632
db00864,c0031542
db00736,c0010200
db06589,c0687713
db00889,c0085612
db00552,c0030554
db06705,c0020598
db01119,c0015230
db04946,c0085614
db00679,c0041105
db00850,c0085631
db00441,c0035455
db00749,c3665347
db00718,c0000737
db00956,c0236075
db04574,c0042109
db08906,c0276680
db00191,c0338614
db06218,c0040822
db00733,c0027497
db01149,c0033247
db01234,c0234894
db00472,c0037763
db00864,c0740394
db00761,c2129214
db00765,c0085649
db00313,c0020649
db01202,c2363730
db00962,c0235146
db00814,c0004093
db00230,c0687707
db00472,c0035078
db00402,c0020443
db01013,c0162835
db01268,c0020625
db01595,c0002622
db00497,c0020672
db00877,c0595929
db00465,c0700590
db01206,c0233407
db00537,c0005758
db01268,c0558148
db00619,c0836924
db00193,c0346156
db00917,c0020458
db00928,c0040558
db01080,c1142135
db08865,c0011991
db01416,c0027697
db01165,c0002871
db01141,c0085593
db08826,c0006325
db01141,c0239981
db01105,c0855242
db01001,c0030252
db00937,c0151773
db00916,c3665347
db00734,c1269683
db00753,c0235744
db00549,c0018939
db00176,c0020578
db01264,c0042571
db01254,c0018800
db01136,c0085649
db01001,c0149931
db00528,c0004093
db00565,c0002994
db00755,c0020473
db00215,c0033036
db00621,c0013604
db01175,c0948266
db00410,c0518015
db00211,c0232487
db00982,c0542476
db00286,c0002994
db00296,c0011570
db00684,c1443060
db01062,c0026826
db00496,c0036974
db00734,c0027769
db06414,c0038362
db00853,c0041969
db06699,c0038999
db00452,c0011991
db00295,c0020517
db01586,c0948594
db00482,c1458155
db01181,c0012833
db01267,c1112182
db01175,c0268000
db01137,c0042024
db08901,c0151578
db00338,c0235592
db00575,c0857468
db00343,c0151315
db00207,c0039070
db00375,c0004093
db00742,c1443060
db01254,c0018418
db00705,c0034882
db08873,c0035243
db00188,c1287298
db06213,c0746961
db01023,c0542571
db00480,c0338573
db08826,c0522153
db01023,c0042963
db01267,c0013395
db06817,c1112303
db00523,c0022568
db06781,c0205204
db00731,c0011991
db00601,c0241005
db00877,c0010481
db00743,c0085624
db00196,c0876973
db00813,c0278079
db00713,c0020517
db00949,c0012833
db01036,c0016382
db01072,c0036508
db01101,c0264267
db01182,c0344232
db00338,c2047937
db08860,c0020580
db00227,c0242350
db00715,c1112442
db01248,c0006266
db01155,c0549448
db00607,c0027540
db04844,c0006277
db00740,c0428977
db00289,c0022107
db01137,c0031542
db00358,c0857051
db00654,c0151205
db00295,c0270810
db01004,c0595883
db01273,c0018932
db00761,c0017181
db00758,c0019080
db00515,c0476327
db00916,c0033246
db01628,c0014591
db08909,c0687713
db01332,c0028643
db00963,c1142151
db00811,c0009806
db01024,c0041974
db00715,c0231303
db00483,c0010709
db00385,c0002871
db01420,c0018681
db00986,c0080274
db01065,c0853692
db00619,c0003467
db00268,c0151826
db00799,c0677500
db00826,c0151827
db00104,c0007117
db00648,c0011615
db00326,c0041657
db01274,c0003850
db00270,c0041969
db00704,c0009763
db00665,c0004604
db00303,c0011615
db01264,c0009676
db00578,c0013378
db00346,c0043352
db00788,c0011175
db01050,c0019294
db01044,c0022568
db01264,c0852911
db01016,c0042384
db00758,c3241936
db01075,c0040264
db00296,c0003811
db00203,c0687713
db01202,c0151766
db00997,c0342892
db01006,c0013404
db00924,c0231528
db00713,c0151904
db01024,c0019572
db01214,c2830004
db01168,c0009421
db00537,c0038367
db00586,c3665347
db01192,c0024115
db01611,c0020615
db01248,c0155919
db08816,c0005940
db00899,c0007785
db01267,c0080274
db01244,c0030554
db01095,c0009806
db00313,c0001807
db00290,c3263723
db01244,c2981158
db01223,c0015376
db01196,c0948089
db01115,c3665347
db01249,c0004096
db00180,c0006905
db00369,c0022073
db00230,c0151785
db00997,c0002871
db01238,c1609512
db00675,c0085649
db00176,c0009946
db01235,c0221745
db00952,c0042510
db00743,c0017979
db00397,c0917801
db08827,c1142086
db08901,c0013491
db00809,c0020458
db00458,c0018799
db00360,c0042963
db01009,c0003811
db00381,c0236075
db06817,c0151576
db01190,c0162323
db00413,c0022665
db04845,c0004623
db00346,c0015397
db00715,c0178829
db01234,c0019521
db00773,c0851341
db01202,c1141861
db00633,c0085682
db01067,c0030554
db06663,c0018681
db06237,c0018799
db00833,c0013604
db00343,c0042401
db00240,c0442886
db00705,c0028084
db00570,c0015376
db01203,c0004093
db00783,c0035455
db00736,c0037317
db00551,c0426576
db00960,c0687713
db00928,c0004144
db01101,c0041582
db00911,c0917801
db00811,c0795692
db00474,c0033774
db00290,c0854467
db00798,c0031117
db00982,c0037199
db01068,c0151559
db00268,c0740394
db00765,c0027424
db01242,c1456784
db00813,c0002962
db06813,c0549373
db00909,c0231528
db01628,c0019080
db01016,c0000731
db00928,c0151773
db00619,c0027051
db00674,c0039231
db00404,c0003123
db00472,c0002994
db01263,c0016867
db00268,c0392171
db01015,c0004936
db00176,c0041657
db00282,c0022658
db00647,c0019209
db00443,c0041657
db00531,c0042510
db00213,c0547030
db06268,c0262397
db00773,c0002170
db00537,c0677500
db01167,c0234913
db00251,c0042109
db00230,c0033247
db00808,c0032285
db00437,c0917801
db00755,c0040053
db01030,c1443060
db00755,c0007859
db00297,c0018965
db00230,c0030794
db00408,c0156404
db00877,c0149745
db00811,c0042075
db01044,c0162830
db00478,c0152227
db01120,c0232459
db00591,c1761613
db00343,c0003123
db01042,c0002453
db00642,c0151905
db00529,c0014518
db00415,c0042963
db01623,c0015371
db00783,c0020517
db04835,c0020433
db00671,c0836924
db01238,c0851341
db00213,c0497247
db00921,c0015967
db00950,c0948594
db00252,c0032285
db00724,c0015256
db00373,c0004245
db00959,c0085633
db01200,c0000737
db00709,c0035204
db01029,c1443060
db08828,c0162429
db01166,c0042029
db00188,c1328308
db01142,c0035854
db00998,c0235338
db00495,c0231530
db00104,c0009763
db01015,c0003862
db00820,c0020651
db00480,c0027947
db00215,c0235919
db01024,c0030193
db08896,c0016169
db00200,c0234215
db01211,c0001824
db06817,c0595916
db00276,c0687713
db00341,c1262144
db08907,c0085606
db00673,c0700590
db00302,c0027765
db00915,c0010038
db00434,c0020701
db00497,c0021400
db01327,c0151872
db00927,c0004936
db00783,c0009806
db00323,c0242350
db00773,c0033774
db00669,c0520539
db01233,c0085623
db00186,c0332575
db00370,c0012797
db00248,c0013395
db01261,c0022660
db00318,c0235360
db00270,c0011570
db01175,c0235939
db00773,c3160947
db00877,c0018129
db01406,c0009806
db00622,c0026826
db00495,c0040034
db00390,c0004245
db01095,c0085932
db01173,c0004093
db00572,c0151735
db00570,c0278134
db00286,c0027769
db05039,c0013404
db00684,c2047937
db00969,c0035243
db00843,c0085641
db00586,c0019270
db00543,c0013395
db00287,c0497247
db08866,c0269189
db06268,c0004134
db01136,c0009450
db00796,c0027051
db01171,c0851578
db00242,c1961112
db00524,c0000737
db00844,c0013395
db08918,c0010692
db00381,c0013378
db00681,c0002792
db01015,c0178298
db00422,c0549405
db00341,c0013395
db00490,c0026837
db00495,c2830004
db00460,c0020453
db00710,c0013491
db01611,c0152191
db00959,c0042963
db00514,c1443060
db01261,c0595877
db01182,c0002965
db00480,c0035410
db01202,c1384353
db00635,c0151786
db00215,c0393761
db00314,c0040034
db01624,c0030446
db01586,c0151517
db00422,c0039240
db01273,c0235980
db00624,c0521495
db01261,c0030196
db00559,c0267596
db00911,c0042109
db00184,c0085633
db01046,c0267509
db01137,c0521839
db00996,c0009319
db01579,c0232492
db01073,c0018681
db06287,c0034065
db00320,c0687713
db01193,c0015672
db00722,c0020649
db06589,c0475858
db01177,c0002170
db00724,c0014742
db00934,c0006266
db01020,c0020443
db01210,c0854097
db06705,c0149514
db00542,c0542571
db00961,c0018794
db00951,c0231218
db08827,c0265031
db00745,c0028754
db00180,c0042963
db00332,c0281773
db05812,c0041969
db01208,c0002962
db00773,c0010520
db01254,c0231528
db00181,c0003811
