e1,e2,all
db00151,"['db00151', 'db00160', 'db00145', 'db00167', 'db00161', 'db00128', 'db00123', 'db00174', 'db00149', 'db00125', 'db00155', 'db00129', 'db00156']","['db00151', 'db00151', 'db00160', 'db00145', 'db00167', 'db00161', 'db00128', 'db00123', 'db00174', 'db00149', 'db00125', 'db00155', 'db00129', 'db00156']"
db00152,['db00152'],"['db00152', 'db00152', 'c0085631', 'c2939147', 'c0027497', 'c0036974', 'c0020458', 'c0234233', 'c0019080', 'c0038990', 'c0004093', 'c0549386', 'c0236071', 'c0033774', 'c0042109', 'c0332534', 'c0010520', 'c0344329', 'c0002994', 'c0034063', 'c0002792', 'c0020517', 'c0518015']"
db00153,"['db00153', 'db02300', 'db01070', 'db01436', 'db00169', 'db00146', 'db00910']","['db00153', 'db00153', 'db02300', 'db01070', 'db01436', 'db00169', 'db00146', 'db00910', 'c0030193', 'c0427008', 'c0022661', 'c0003123', 'c0013336', 'c0027709', 'c0085602', 'c0020538', 'c0027497', 'c0043096', 'c0032617', 'c0004093', 'c1533591', 'c0002871', 'c1167965', 'c0342649', 'c0009806', 'c0860433', 'c0020438', 'c0232462', 'c0001122', 'c0948525', 'c0029456', 'c0028734', 'c1306341', 'c0006663', 'c1442839', 'c0242528', 'c0025362', 'c0234238']"
db00154,"['db00154', 'db06689', 'db08887', 'db00917', 'db00770']","['db00154', 'db00154', 'db06689', 'db08887', 'db00917', 'db00770']"
db00155,"['db00155', 'db00143', 'db00123', 'db06775', 'db00174', 'db00128', 'db00129', 'db00125']","['db00155', 'db00155', 'db00143', 'db00123', 'db06775', 'db00174', 'db00128', 'db00129', 'db00125']"
db00156,"['db00156', 'db00149', 'db00161', 'db00160', 'db00167']","['db00156', 'db00156', 'db00149', 'db00161', 'db00160', 'db00167']"
db00158,"['db00158', 'db00650', 'db00293', 'db00642', 'db06813', 'db00563']","['db00158', 'db00158', 'db00650', 'db00293', 'db00642', 'db06813', 'db00563', 'c1536696', 'c1443060', 'c0016204', 'c0036572', 'c0232462', 'c0234215', 'c0033774', 'c0233571', 'c0013404', 'c0000731', 'c1325847', 'c0015230', 'c0042847', 'c0027497', 'c0006266', 'c0011603', 'c2047937', 'c0002792', 'c0003123', 'c0232459', 'c0017178', 'c0011570', 'c0233818', 'c0085631', 'c0013378', 'c0541799', 'c0009676', 'c0231218', 'c0013395', 'c0022107', 'c0041834']"
db00159,"['db00159', 'db08887', 'db00154']","['db00159', 'db00159', 'db08887', 'db00154', 'c0011603', 'c0014724', 'c0019087', 'c0948594', 'c0015230', 'c0013378', 'c0033774', 'c0009806', 'c0013395', 'c2363731', 'c0151905', 'c0003862', 'c0151904', 'c0042963', 'c0162429', 'c0002792', 'c0017178']"
db00160,"['db00160', 'db00167', 'db00161']","['db00160', 'db00160', 'db00167', 'db00161']"
db00161,"['db00161', 'db00167']","['db00161', 'db00161', 'db00167']"
db00162,"['db00162', 'db00982', 'db00459']","['db00162', 'db00162', 'db00982', 'db00459', 'c0002792', 'c0020517']"
db00165,['db00165'],"['db00165', 'db00165', 'c2830004', 'c0027497', 'c0018681', 'c0030554', 'c0031117']"
db00168,"['db00168', 'db00881', 'db01348', 'db01255', 'db00188', 'db00182']","['db00168', 'db00168', 'db00881', 'db01348', 'db01255', 'db00188', 'db00182']"
db00170,"['db00170', 'db00498', 'db01041', 'db01125']","['db00170', 'db00170', 'db00498', 'db01041', 'db01125']"
db00171,"['db00171', 'db00928', 'db01280', 'db00300', 'db01073', 'db00194', 'db06213', 'db03147', 'db00640']","['db00171', 'db00171', 'db00928', 'db01280', 'db00300', 'db01073', 'db00194', 'db06213', 'db03147', 'db00640']"
