e1,e2,all
db01070,"['db01070', 'db01436', 'db00146', 'db00169', 'db00910', 'db02300']","['db01070', 'db01070', 'db01436', 'db00146', 'db00169', 'db00910', 'db02300']"
db01071,"['db01071', 'db01591', 'db00777', 'db00623', 'db01614', 'db00933', 'db00433', 'db00508', 'db01063', 'db01224', 'db01246', 'db08802', 'db00902', 'db01615', 'db01069', 'db00340', 'db08796', 'db01151', 'db00679', 'db00420', 'db00477', 'db00458', 'db09000', 'db06148']","['db01071', 'db01071', 'db01591', 'db00777', 'db00623', 'db01614', 'db00933', 'db00433', 'db00508', 'db01063', 'db01224', 'db01246', 'db08802', 'db00902', 'db01615', 'db01069', 'db00340', 'db08796', 'db01151', 'db00679', 'db00420', 'db00477', 'db00458', 'db09000', 'db06148']"
db01072,['db01072'],"['db01072', 'db01072', 'c0018794', 'c0043144', 'c0018790', 'c0242339', 'c0019196', 'c0020580', 'c0040479', 'c0151904', 'c0017160', 'c0027497', 'c0003467', 'c0004093', 'c0151603', 'c2363731', 'c0162119', 'c0333641', 'c0017178', 'c0558489', 'c0030794', 'c0030193', 'c0011570', 'c0027441', 'c0233494', 'c0085631', 'c0041657', 'c2225524', 'c0040264', 'c0015230', 'c0011636', 'c0151908', 'c0235031', 'c0231218', 'c0015967', 'c0423791', 'c0231274', 'c0151517', 'c0042963', 'c0232461', 'c0011175', 'c0038362', 'c0151786', 'c0917801', 'c0021364', 'c0004604', 'c0009782', 'c0234215', 'c0855333', 'c0030232', 'c0019214', 'c0042075', 'c0027059', 'c0947912', 'c0018524', 'c0028961', 'c0000737', 'c0032617', 'c0023211', 'c0002622', 'c0013378', 'c1167965', 'c0520573', 'c0043094', 'c0149745', 'c0231528', 'c0231530', 'c0041969', 'c0085624', 'c1260880', 'c0018099', 'c0025345', 'c0019158', 'c0151825', 'c0033975', 'c0162830', 'c0020557', 'c0015672', 'c0027769', 'c0021053', 'c0085932', 'c0009450', 'c0233407', 'c0028754', 'c0334044', 'c0021368', 'c1368065', 'c0000731', 'c0038165', 'c0235639', 'c0392525', 'c0699744', 'c0009676', 'c0029877', 'c0151763', 'c1443060', 'c0233472', 'c0267792', 'c1141938', 'c0302295', 'c0948594', 'c0268000', 'c0018213', 'c0015397', 'c0019209', 'c0160390', 'c0027339', 'c0549475', 'c0013491', 'c0014868', 'c0151640', 'c0151970', 'c0151765', 'c0349506', 'c0020456', 'c0003862', 'c0018418', 'c0038663', 'c0855242', 'c0023787', 'c0010200', 'c0151479', 'c0040460', 'c0948586', 'c0009806', 'c0795692', 'c0008325', 'c0002994', 'c0013395', 'c0948198', 'c0151889', 'c0011849', 'c0011991', 'c0242350', 'c0030305', 'c0034150', 'c0008350', 'c0851578', 'c0012833', 'c0014742', 'c2830004', 'c0035078', 'c3203690', 'c0264906', 'c0006145', 'c0042029', 'c0687713', 'c0011124', 'c0027765', 'c0687133', 'c0026846', 'c0013404', 'c0020458', 'c0151883', 'c2047937', 'c0853692', 'c0151878', 'c0438142', 'c1262113', 'c0031117', 'c0020565', 'c0008031', 'c0043352', 'c0036974', 'c0013595', 'c0026848', 'c0004364', 'c0151826', 'c0042023', 'c0020433', 'c0036572', 'c0151579', 'c0043096', 'c0030196', 'c0011603', 'c0002170', 'c0018965', 'c0232462', 'c2711227', 'c0162429', 'c0017152', 'c0018681', 'c0036508', 'c0022650', 'c0038363', 'c0392025', 'c0240962', 'c0030920', 'c0004936', 'c0020615', 'c0033687', 'c0016204', 'c0022346', 'c0037274', 'c0029118', 'c0151905', 'c0038325', 'c0018799', 'c0013604', 'c0574067', 'c0524909', 'c0009319', 'c0011609', 'c0041349', 'c0424295', 'c0007642', 'c0042373', 'c0020039', 'c0020538', 'c1112320', 'c0002453', 'c0039070', 'c0575081', 'c0027707', 'c0001125', 'c0027947', 'c0025061', 'c0085633', 'c0027424', 'c0014457', 'c0033774', 'c0038990', 'c0877192', 'c0021655', 'c0741494', 'c0042721', 'c0003123', 'c0020443', 'c0085649', 'c0004245', 'c0085641', 'c0030252', 'c0019521', 'c0020517', 'c0015663', 'c0311468', 'c0178298', 'c0008370', 'c0042109']"
db01073,['db01073'],"['db01073', 'db01073', 'c0700590', 'c0031542', 'c0232459', 'c0002880', 'c0003123', 'c0018801', 'c0015672', 'c0014591', 'c0031117', 'c0016059', 'c0041364', 'c0004093', 'c0042029', 'c0011053', 'c0010200', 'c0854467', 'c1384666', 'c0028643', 'c0016199', 'c0015230', 'c0549463', 'c0013404', 'c0002940', 'c0007760', 'c0333355', 'c0919924', 'c0020598', 'c0037199', 'c0278134', 'c1306600', 'c0011991', 'c0038362', 'c0002390', 'c0009450', 'c0020456', 'c0029132', 'c0024314', 'c0027497', 'c0085692', 'c0002871', 'c0036508', 'c0035078', 'c0038325', 'c0010828', 'c0023524', 'c0456909', 'c0030312', 'c0018802', 'c0851578', 'c0027765', 'c0040034', 'c0042963', 'c0027947', 'c0149678', 'c0011175', 'c0162429', 'c0038454', 'c0152032', 'c0030193', 'c0003862', 'c0242184', 'c0029118', 'c0033687', 'c0149871', 'c0003811', 'c0020458', 'c0740394', 'c0006277', 'c1168174', 'c0014868', 'c0029134', 'c0243065', 'c0031350', 'c0032285', 'c0234215', 'c0151582', 'c0029456', 'c0235896', 'c1167791', 'c0151579', 'c2047937', 'c0033774', 'c0007787', 'c0014518', 'c0085631', 'c0085681', 'c0020461', 'c0041912', 'c0009806', 'c0023530', 'c0231528', 'c0031039', 'c0039240', 'c0026986', 'c0009676', 'c0232462', 'c0151773', 'c0015967', 'c0235032', 'c0013395', 'c0014742', 'c0008350', 'c0151766', 'c0002792', 'c0518015', 'c0019360', 'c0948586', 'c0235416', 'c0011603', 'c0547030', 'c0030554', 'c1145670', 'c0018681', 'c0017178', 'c0085393', 'c0853697', 'c0020580', 'c0948089', 'c0220981', 'c0948594', 'c0162119', 'c0085605', 'c0009421', 'c0017181', 'c1443060', 'c0020517', 'c0151701', 'c0236151', 'c0231218', 'c0011168', 'c0002962', 'c0019080', 'c0036572', 'c0013428', 'c0002170', 'c0019079', 'c0027051', 'c0085593', 'c0018965', 'c0476273', 'c0013604', 'c0021051', 'c0231666', 'c3665347', 'c0034069']"
db01074,['db01074'],"['db01074', 'db01074', 'c0151763', 'c0020458', 'c0030554', 'c0036572', 'c0030353', 'c0012569', 'c0015371', 'c0853692', 'c0427108', 'c0917801', 'c0004134', 'c0015230', 'c0006625', 'c0000737', 'c0232462', 'c0311394', 'c0041657', 'c0042109', 'c0031117', 'c0020615', 'c0575081', 'c0152025', 'c0086525', 'c0012833', 'c0042963', 'c0575090', 'c0687713', 'c0019158', 'c0016382', 'c0011603', 'c0018681', 'c0040822', 'c0936254', 'c0043096', 'c0004093', 'c0039070', 'c0038990', 'c0160390', 'c0042721', 'c0003123', 'c0015672', 'c0151786', 'c0020557', 'c0029134', 'c0233494', 'c0040479', 'c0080276', 'c0027769', 'c0027497', 'c0036974']"
db01075,"['db01075', 'db01616', 'db00924', 'db00792', 'db01237', 'db09014', 'db00245', 'db01176', 'db09002', 'db01069', 'db00675', 'db00647', 'db08799', 'db00420', 'db00865', 'db00676', 'db00809', 'db04794', 'db01246', 'db01142', 'db00946', 'db00882', 'db00458', 'db01433', 'db01173', 'db01227', 'db00289', 'db08801', 'db00568', 'db00985', 'db00925', 'db01114', 'db00405', 'db08903', 'db00366']","['db01075', 'db01075', 'db01616', 'db00924', 'db00792', 'db01237', 'db09014', 'db00245', 'db01176', 'db09002', 'db01069', 'db00675', 'db00647', 'db08799', 'db00420', 'db00865', 'db00676', 'db00809', 'db04794', 'db01246', 'db01142', 'db00946', 'db00882', 'db00458', 'db01433', 'db01173', 'db01227', 'db00289', 'db08801', 'db00568', 'db00985', 'db00925', 'db01114', 'db00405', 'db08903', 'db00366', 'c0221490', 'c0086525', 'c0349506', 'c1443060', 'c0235710', 'c0080274', 'c0043352', 'c0018681', 'c0027769', 'c0036572', 'c0040822', 'c0015230', 'c0022107', 'c0013395', 'c0162830', 'c0232462', 'c0042023', 'c0011991', 'c0344232', 'c0009676', 'c0042571', 'c2830004', 'c0030554', 'c0027813', 'c0020458', 'c0235146', 'c0917801', 'c0013428', 'c0003123', 'c0085631', 'c0043144', 'c0233494', 'c0042963', 'c0020649', 'c0022893', 'c0013144', 'c0015672', 'c0700590', 'c0009806', 'c0340464', 'c0042109', 'c0039231', 'c0027497', 'c0027424', 'c0040264', 'c0004093', 'c0002878', 'c0011609', 'c0031117', 'c0011603', 'c0085593', 'c0030252', 'c0001824', 'c0012569', 'c0012833', 'c0040034', 'c0232292']"
db01077,"['db01077', 'db00710', 'db00399', 'db00630', 'db00282', 'db00884']","['db01077', 'db01077', 'db00710', 'db00399', 'db00630', 'db00282', 'db00884', 'c0221204', 'c0029442', 'c0018681', 'c0349790', 'c0016655', 'c0151825', 'c0037763', 'c0020517', 'c0030312', 'c0023530', 'c0014742', 'c0031117', 'c0029445', 'c0002994', 'c0004096', 'c0002871', 'c0029396', 'c0009806', 'c0241426', 'c0041834', 'c0023418', 'c0029408', 'c0009450', 'c0033774', 'c0423791', 'c0017675', 'c0003862', 'c0027497', 'c0018524', 'c0042963', 'c0002622', 'c0334040', 'c0014868', 'c0042109', 'c0234916', 'c0302313', 'c0011991', 'c0016658', 'c0003864', 'c0234215', 'c0017672', 'c0221201', 'c0026636', 'c0022408', 'c0030554', 'c0149911', 'c0023218', 'c1443060', 'c0001824', 'c0038325', 'c0011603', 'c0017152', 'c0002170', 'c0013395', 'c0016204', 'c0015230', 'c0030920', 'c0009676', 'c2711248', 'c0000737', 'c0948594', 'c0029456', 'c0687713']"
db01080,"['db01080', 'db06775']","['db01080', 'db01080', 'db06775', 'c0037822', 'c0010200', 'c1443060', 'c0233414', 'c0085649', 'c0026827', 'c0234543', 'c0233794', 'c0027769', 'c0700184', 'c2830004', 'c1301937', 'c0233632', 'c0004134', 'c0235095', 'c1368065', 'c3665386', 'c0037036', 'c0011053', 'c0018552', 'c0012569', 'c0013390', 'c0232462', 'c0037195', 'c0265547', 'c0042963', 'c0013144', 'c0699744', 'c0549373', 'c0000731', 'c0038450', 'c0014742', 'c0231530', 'c1737329', 'c0155947', 'c0028738', 'c0003862', 'c0424605', 'c0231218', 'c0013456', 'c0013384', 'c0015397', 'c0027424', 'c2047937', 'c0009450', 'c0002871', 'c0027497', 'c0040460', 'c0023052', 'c0151888', 'c0948349', 'c0011757', 'c0178298', 'c0011206', 'c0085631', 'c0026633', 'c0036572', 'c0008031', 'c0006277', 'c0013395', 'c0038220', 'c0034150', 'c0013362', 'c1739111', 'c0702166', 'c1760428', 'c0233472', 'c0858635', 'c0549249', 'c0039971', 'c0042571', 'c0233494', 'c0030193', 'c0423791', 'c0002994', 'c0037199', 'c0085633', 'c0151836', 'c0009782', 'c0232487', 'c0233514', 'c0002622', 'c0032285', 'c1456784', 'c0030554', 'c1457883', 'c0424295', 'c0011603', 'c0006145', 'c0000768', 'c0085584', 'c0000737', 'c0021400', 'c0206762', 'c0015967', 'c0267792', 'c0233407', 'c0006840', 'c0008370', 'c0520966', 'c0038663', 'c0042029', 'c0043094', 'c0035333', 'c0013447', 'c0231528', 'c0151611', 'c0034065', 'c0026766', 'c0035304', 'c0029882', 'c1619700', 'c0009938', 'c0235198', 'c0917801', 'c0026838', 'c0040264', 'c0031212', 'c0030232', 'c0085628', 'c0542476', 'c0036454', 'c0435002', 'c0026650', 'c0038325', 'c0014130', 'c0025345', 'c0158687', 'c0004093', 'c0018681', 'c0033975', 'c0333641', 'c0040435', 'c0242073', 'c1328407', 'c0232492', 'c0406834', 'c0271429', 'c0004604', 'c1868998', 'c0015230', 'c0029134', 'c0017178', 'c0338831', 'c0027765', 'c0035309', 'c0542571', 'c0080194', 'c0266011', 'c0521694', 'c0434437', 'c0162429', 'c0029124', 'c0020517', 'c0013604', 'c0009676', 'c0003467', 'c0015672', 'c0266316', 'c0233471', 'c0085632', 'c1142135', 'c0575081', 'c0042769', 'c0011570', 'c0014550', 'c0037763', 'c0241934', 'c0014518', 'c0009806', 'c0151889', 'c0344232', 'c0152517', 'c0232461', 'c0242350', 'c0278134', 'c0019555', 'c0236826', 'c0029408', 'c0235753', 'c0853811', 'c0041912', 'c0009763', 'c0851341', 'c0038379', 'c0027441', 'c0040822', 'c0521554', 'c1145670', 'c0001807', 'c0027066', 'c0034012', 'c0037274', 'c0018524', 'c0012833', 'c0235309', 'c0234458', 'c0004095', 'c0858603', 'c0014868', 'c0026826', 'c0026857', 'c0004936', 'c0033774', 'c0151827', 'c0023380', 'c0344315', 'c0152027', 'c0281774', 'c0030196', 'c0235032', 'c0234215', 'c0022107', 'c0687713', 'c0042109', 'c1306341', 'c0031117', 'c0025362', 'c0948594', 'c0020580', 'c3665347', 'c0239234', 'c0011991', 'c1384353', 'c0022408', 'c0017181']"
db01081,"['db01081', 'db01138', 'db00454', 'db00496', 'db00771', 'db01227']","['db01081', 'db01081', 'db01138', 'db00454', 'db00496', 'db00771', 'db01227']"
db01082,"['db01082', 'db00479', 'db01172']","['db01082', 'db01082', 'db00479', 'db01172', 'c1565489', 'c0027497', 'c0014457', 'c0599918', 'c0011606', 'c0042963', 'c0002878', 'c0011603', 'c0042109', 'c0151786', 'c0002418', 'c0015230', 'c0030554', 'c0015967', 'c0235280', 'c0042571', 'c0002792', 'c0023530', 'c0595916', 'c0560046', 'c0011053', 'c0030312', 'c0877217', 'c0242528', 'c0002994', 'c0035078', 'c0040034']"
db01083,"['db01083', 'db06689']","['db01083', 'db01083', 'db06689', 'c0015967', 'c0027765', 'c0151824', 'c0003467', 'c0404521', 'c0002453', 'c0002994', 'c0033777', 'c0851341', 'c0000731', 'c0853348', 'c0948594', 'c0577115', 'c0021564', 'c0031117', 'c1510471', 'c0699744', 'c0004936', 'c0027497', 'c0235315', 'c0012833', 'c0024050', 'c0042075', 'c0004364', 'c0156404', 'c0085605', 'c0020517', 'c0019158', 'c0236075', 'c0234215', 'c0232488', 'c0018939', 'c0020615', 'c0016204', 'c0235290', 'c0023218', 'c1735348', 'c0039503', 'c0022408', 'c1971624', 'c0025061', 'c0700590', 'c0237326', 'c0232492', 'c0687713', 'c0546956', 'c0031350', 'c0042571', 'c0019112', 'c0027651', 'c0008325', 'c0003864', 'c0032617', 'c0033774', 'c0021053', 'c0014724', 'c0042267', 'c0028754', 'c0702166', 'c1963818', 'c0016655', 'c0278016', 'c0017178', 'c0018681', 'c0232495', 'c0037274', 'c2242737', 'c0026821', 'c0011570', 'c0344232', 'c0002170', 'c0687133', 'c0010200', 'c1443060', 'c0012817', 'c0231218', 'c0851578', 'c0039971', 'c0030193', 'c0013369', 'c0574002', 'c0015672', 'c0006145', 'c2047937', 'c0149725', 'c0009450', 'c0004096', 'c1145628', 'c0235318', 'c0008350', 'c0917801', 'c0021400', 'c0014335', 'c0267596', 'c0041912', 'c0022658', 'c0008031', 'c0235296', 'c0013390', 'c0151908', 'c0013595', 'c0041969', 'c0085649', 'c0014544', 'c0013604', 'c0043352', 'c0042109', 'c0020621', 'c0000737', 'c0853225', 'c1384353', 'c0232462', 'c0011603', 'c0011849', 'c0029877', 'c0235522', 'c0017152', 'c0162429', 'c0011991', 'c0232693', 'c0027339', 'c0025319', 'c0877605', 'c0426576', 'c0232461', 'c0043345', 'c0518015', 'c0853619', 'c0004604', 'c0013395', 'c0042963', 'c0013378', 'c0033775', 'c0006266', 'c0015230', 'c0235309', 'c0036572', 'c0034886', 'c0241863', 'c0235807', 'c0232487', 'c0012813', 'c0030554', 'c0542184', 'c0030305', 'c0042029', 'c0178298', 'c0035078', 'c0020458', 'c1167965', 'c0376286', 'c0029408', 'c0007222', 'c0004093', 'c0019080', 'c0017563', 'c0085932', 'c0231528', 'c0015732', 'c0267792', 'c0020676', 'c0235818', 'c0037763', 'c0030252', 'c0040435', 'c1519353', 'c0016658', 'c0037199', 'c0259749', 'c0002792']"
db01084,['db01084'],"['db01084', 'db01084', 'c0004095', 'c0235266', 'c0853336', 'c0178298', 'c0152227', 'c0015230', 'c0027765', 'c0423232', 'c0004093', 'c0234215', 'c0039231', 'c0018681', 'c0541799', 'c0155169', 'c0035455', 'c0037195', 'c0423602', 'c0037274', 'c0151827', 'c0423153', 'c0030193', 'c0015397', 'c1761613', 'c0344232', 'c0022568', 'c0677500', 'c0033774', 'c0018799', 'c0037199', 'c0020452', 'c0314719', 'c0004936', 'c0920171', 'c0013378', 'c0234458', 'c0014236', 'c0011603', 'c0855704', 'c0022281']"
db01085,['db01085'],"['db01085', 'db01085', 'c3665347', 'c0234458', 'c0004093', 'c0013604', 'c0019348', 'c0017574', 'c0085595', 'c0013595', 'c0036104', 'c0015967', 'c0006277', 'c0040034', 'c0038362', 'c0019158', 'c0234930', 'c0151699', 'c0012833', 'c0233763', 'c0040822', 'c0034359', 'c1609512', 'c0232461', 'c0151830', 'c0003862', 'c0162830', 'c0948594', 'c0008350', 'c0003467', 'c0149931', 'c0152009', 'c0035455', 'c0020580', 'c0020672', 'c0004604', 'c0000737', 'c0017152', 'c0015230', 'c0085649', 'c0234632', 'c0948089', 'c0016382', 'c0040435', 'c0029928', 'c0235567', 'c0151827', 'c0036130', 'c1536696', 'c0023530', 'c0013456', 'c0036974', 'c0948525', 'c0042023', 'c0677500', 'c0021400', 'c0020538', 'c0085606', 'c0015402', 'c0014724', 'c0086543', 'c0020458', 'c0014868', 'c0151786', 'c2830004', 'c0034063', 'c0151908', 'c0700200', 'c0030252', 'c0037822', 'c0024894', 'c0042420', 'c0007859', 'c0018965', 'c0424605', 'c0003123', 'c0020517', 'c0002418', 'c0020649', 'c0013404', 'c0018681', 'c0002962', 'c0151766', 'c0020433', 'c0231530', 'c0037763', 'c0424295', 'c0085631', 'c0428977', 'c0037036', 'c0687713', 'c0235266', 'c0035305', 'c0027497', 'c0009319', 'c1306341', 'c0039231', 'c0037199', 'c0042267', 'c0023067', 'c0033774', 'c0011991', 'c0030193', 'c0038990', 'c0011603', 'c0005747', 'c0341047', 'c0151936', 'c2364111', 'c0023510', 'c0151854', 'c0009676', 'c1320474', 'c0011053', 'c0006840', 'c0085593', 'c0020615', 'c0023218', 'c0152227', 'c0004245', 'c0017160', 'c0038450', 'c0151315', 'c0015397', 'c0011168', 'c0000768', 'c2979982', 'c0231528', 'c0085932', 'c0023066', 'c0014591', 'c0019521', 'c0037299', 'c0025323', 'c0024441', 'c0233494', 'c0005818', 'c1510497', 'c0022904', 'c0413252', 'c0013447', 'c0233472', 'c0025874', 'c0700345', 'c0947912', 'c0041657', 'c0014743', 'c0003864', 'c0042769', 'c0042963', 'c0011616', 'c0011253', 'c0233632', 'c0025222', 'c0013395', 'c1262144', 'c0404521', 'c0032285', 'c0017178', 'c0010200', 'c0022568', 'c0036508', 'c0344232', 'c0574067', 'c0013378', 'c0035309', 'c3495920', 'c0031350', 'c0423153', 'c0011606', 'c0027769', 'c0234215', 'c0010709', 'c0079043', 'c0006852', 'c0151883', 'c0040264', 'c0497156', 'c0314719', 'c0040409', 'c0013428', 'c0009806', 'c0039520', 'c0043387', 'c0235229', 'c0016204', 'c0040053', 'c0151736', 'c0085641', 'c0085633', 'c0042029', 'c0836924', 'c0027051', 'c0005940', 'c0006266', 'c0009763', 'c0002170', 'c0542571', 'c0003811', 'c0030554', 'c0017675', 'c1443060', 'c0003537', 'c0042024', 'c0008031', 'c3263723', 'c0232462', 'c0024902', 'c3665386', 'c0030305', 'c0917801', 'c0020569', 'c0009450', 'c0039070']"
db01086,"['db01086', 'db01035', 'db00345']","['db01086', 'db01086', 'db01035', 'db00345', 'c0234233', 'c0042109', 'c0010520', 'c0033774', 'c0038999', 'c0011603', 'c0332575', 'c0041834', 'c0013604', 'c0013404', 'c0399459', 'c0877717', 'c0476273', 'c0011616', 'c0025637', 'c0020517', 'c0015230']"
db01087,"['db01087', 'db00608']","['db01087', 'db01087', 'db00608', 'c0013395', 'c0000737', 'c0002878', 'c0000729', 'c0023530', 'c0027497', 'c0025637', 'c0042963', 'c0221490']"
db01089,"['db01089', 'db01392', 'db00206']","['db01089', 'db01089', 'db01392', 'db00206']"
db01091,"['db01091', 'db00865', 'db00354', 'db00857', 'db08998', 'db08903', 'db00525', 'db00476', 'db01012', 'db00735', 'db06711']","['db01091', 'db01091', 'db00865', 'db00354', 'db00857', 'db08998', 'db08903', 'db00525', 'db00476', 'db01012', 'db00735', 'db06711', 'c0677500', 'c0033774', 'c0011616', 'c0030193', 'c0013378', 'c0041834']"
db01092,"['db01092', 'db01396', 'db01078']","['db01092', 'db01092', 'db01396', 'db01078']"
db01093,['db01093'],"['db01093', 'db01093', 'c0234215', 'c0403639']"
db01095,"['db01095', 'db08860', 'db01076']","['db01095', 'db01095', 'db08860', 'db01076', 'c0040822', 'c0427055', 'c0004604', 'c0233794', 'c0010200', 'c0035455', 'c0039070', 'c0011603', 'c0948594', 'c0011991', 'c0027765', 'c0520463', 'c0037274', 'c0232462', 'c0041912', 'c0027441', 'c0031350', 'c0018681', 'c0037199', 'c0009763', 'c0542476', 'c0438717', 'c0019158', 'c0029408', 'c0014742', 'c0031117', 'c0002170', 'c2239176', 'c0038990', 'c0042571', 'c0234233', 'c0014724', 'c0009450', 'c0014457', 'c0018418', 'c0178298', 'c0022660', 'c0919980', 'c0018834', 'c0013395', 'c0032533', 'c0521839', 'c0020538', 'c0002994', 'c0028259', 'c0022408', 'c0002792', 'c0234215', 'c0085605', 'c0030196', 'c0027080', 'c1510497', 'c0020458', 'c0004936', 'c0023530', 'c0338656', 'c0016204', 'c0013378', 'c0043251', 'c0004238', 'c0009782', 'c0020517', 'c0021400', 'c1142139', 'c0543698', 'c1142028', 'c0008031', 'c0041657', 'c0751295', 'c0086543', 'c0030305', 'c0006277', 'c0026848', 'c0426576', 'c0015230', 'c0600142', 'c0022354', 'c0085649', 'c0033774', 'c0009676', 'c2981158', 'c3263723', 'c0042963', 'c0042384', 'c0012833', 'c0392699', 'c2047937', 'c0016382', 'c0041834', 'c0014518', 'c0687713', 'c0036974', 'c0853875', 'c0021775', 'c0349506', 'c0231528', 'c0018799', 'c0231218', 'c0392171', 'c0026821', 'c0013595', 'c0345904', 'c0853034', 'c0917801', 'c0231807', 'c0000737', 'c0151480', 'c0017152', 'c0030554', 'c1443060', 'c1384353', 'c0017178', 'c0030193', 'c0040435', 'c0003811', 'c0002622', 'c0038354', 'c0151786', 'c0013404', 'c0042029', 'c0023222', 'c0029089', 'c0024141', 'c0034150', 'c0040034', 'c0162830', 'c0042373', 'c0409974', 'c0151798', 'c0085593', 'c0003864', 'c0232492', 'c0015967', 'c0038325', 'c0004093', 'c0002878', 'c0009806', 'c0085932', 'c0035410', 'c0027121', 'c0028866', 'c0037763', 'c0001339', 'c0281913', 'c0236075', 'c0042109', 'c0242350', 'c1368065', 'c3665386', 'c0027497', 'c0542571', 'c3267047', 'c0009241', 'c0003862', 'c0015672', 'c0267792', 'c0021053', 'c0020580', 'c0851341', 'c0003123', 'c3665347', 'c0003467', 'c0006145']"
db01097,"['db01097', 'db04552']","['db01097', 'db01097', 'db04552', 'c0042109', 'c0151907', 'c0232459', 'c0015967', 'c2363731', 'c0011603', 'c0039231', 'c0151766', 'c0042075', 'c0006849', 'c0020621', 'c1971624', 'c0037299', 'c0025222', 'c0042401', 'c0017574', 'c0016204', 'c0009450', 'c0014130', 'c0014518', 'c0948594', 'c0424605', 'c0041969', 'c0023530', 'c0009763', 'c0030312', 'c0006444', 'c0015397', 'c0041912', 'c0043096', 'c0025345', 'c0009806', 'c0002418', 'c1096658', 'c0019348', 'c2242588', 'c0004604', 'c0235996', 'c0006277', 'c0010709', 'c1963951', 'c0022346', 'c0042345', 'c0702166', 'c0023218', 'c0030305', 'c0033575', 'c0037763', 'c0001824', 'c0001364', 'c0038363', 'c0243026', 'c0012833', 'c1261167', 'c0040034', 'c0003123', 'c2363730', 'c0007222', 'c0021400', 'c0030193', 'c0151908', 'c0030232', 'c0242429', 'c0013378', 'c0019360', 'c0020473', 'c0267792', 'c0206061', 'c0009782', 'c0020517', 'c0027947', 'c0206062', 'c0018799', 'c0521987', 'c0004364', 'c0042963', 'c0232849', 'c0231218', 'c0035078', 'c0085593', 'c0221333', 'c0039520', 'c0003811', 'c0002962', 'c0041582', 'c0231441', 'c0151811', 'c0004096', 'c0020569', 'c0042571', 'c0085682', 'c0086543', 'c0027339', 'c0000833', 'c0003864', 'c0020456', 'c0853149', 'c0231528', 'c0006840', 'c0700590', 'c0002170', 'c0020540', 'c0853034', 'c0013491', 'c0032285', 'c0008350', 'c0234215', 'c0006852', 'c0029408', 'c0015230', 'c0085649', 'c0001925', 'c0014868', 'c0014457', 'c0042029', 'c0031117', 'c0027813', 'c0002871', 'c0021368', 'c0403632', 'c2242996', 'c0149931', 'c0497247', 'c0149745', 'c0574067', 'c0019158', 'c0948023', 'c0002792', 'c0151576', 'c0043352', 'c0011616', 'c0037274', 'c0041296', 'c0003467', 'c0281981', 'c0031350', 'c0017152', 'c1384353', 'c0013395', 'c0038362', 'c0032584', 'c0029944', 'c0340865', 'c3495559', 'c0438237', 'c0423791', 'c0001175', 'c0038325', 'c0851341', 'c0011991', 'c0037199', 'c0851578', 'c0004093', 'c0018965', 'c0013428', 'c0006145', 'c0008370', 'c0030794', 'c0027765', 'c0021053', 'c0239571', 'c0035243', 'c0020649', 'c0917801', 'c0039103', 'c0011849', 'c0000737', 'c1443060', 'c0018944', 'c0013404', 'c0152081', 'c0018939', 'c0017160', 'c0010692', 'c0026821', 'c0232462', 'c0151937', 'c1318520', 'c0017178', 'c0022408', 'c0014591', 'c0033774', 'c0020546', 'c0013595', 'c0000768', 'c0162429', 'c0042023', 'c0518015', 'c0007859', 'c0030252', 'c0004936', 'c0027651', 'c0035455', 'c0160390', 'c0474378', 'c0024137', 'c0162316', 'c0344232', 'c0040435', 'c0151763', 'c0023895', 'c0020550', 'c0497156', 'c0008031', 'c0042384', 'c0027796', 'c0178298', 'c0027497', 'c0015672', 'c0151825', 'c0085605', 'c0019080', 'c0687713', 'c0019270', 'c0011630', 'c0003862', 'c0235378', 'c0034069', 'c1142412', 'c0018681', 'c0020458', 'c0029445', 'c2047937', 'c0037287', 'c0002994', 'c0020538', 'c0030554', 'c0700345', 'c1609512', 'c0009938', 'c0877359', 'c0009319', 'c0033860', 'c0010200', 'c0151754', 'c0014742', 'c0025061', 'c0013146', 'c0151689', 'c0029118']"
db01098,"['db01098', 'db01095', 'db08860']","['db01098', 'db01098', 'db01095', 'db08860', 'c0574067', 'c0016204', 'c0267792', 'c0033687', 'c3263723', 'c0018681', 'c0021400', 'c0027765', 'c0006277', 'c0033774', 'c0002622', 'c0235996', 'c0018965', 'c0018418', 'c0233794', 'c0004936', 'c0017160', 'c0085605', 'c0948594', 'c0853034', 'c0151736', 'c3267047', 'c0031350', 'c0031117', 'c0026857', 'c0687713', 'c0040034', 'c0151786', 'c0022658', 'c0011849', 'c0004093', 'c0687133', 'c0239937', 'c0151576', 'c0000737', 'c0027497', 'c0003862', 'c0011991', 'c0027080', 'c0338656', 'c1443060', 'c0853875', 'c0917801', 'c0231528', 'c0006145', 'c0009241', 'c0035455', 'c0015230', 'c0030305', 'c0010200', 'c0037199', 'c0030554', 'c0009676', 'c0281913', 'c0026848', 'c0035410', 'c0012833', 'c0003811', 'c0011570', 'c0011603', 'c0438142', 'c0019158', 'c0022346', 'c0018939', 'c0042109', 'c0042029', 'c0020517', 'c0542476', 'c0751295', 'c0948586', 'c0013395', 'c0009806', 'c0028084', 'c0030193', 'c0851578', 'c0027121', 'c0002994', 'c0022660', 'c0026826', 'c0009450']"
